image_name,circular_mean,circular_variance,circular_median,circular_IQR,quantile_25,quantile_50,quantile_75
DJI_0372,47.23540180324597,0.9908525384239447,89.8163132110263,89.70734509406148,45.12965170555523,89.8163132110263,134.8369967996167
DJI_0373,47.32343178214443,0.812686010162369,76.08512857093221,84.64021893008717,39.59546527564576,76.08512857093221,124.23568420573292
DJI_0374,33.8957602071851,0.9802416059005329,87.5444595874435,89.7694423487442,43.20745010228355,87.5444595874435,133.43800775353935
LL aerial1,37.298098677133396,0.9762882538261162,88.14760802006131,89.81557943887785,44.04729128164323,88.14760802006131,134.23171184276538
LL grass,171.96233184743502,0.920566010441026,91.24316522268332,83.03521421859449,41.85417069038797,91.24316522268332,138.81895647179348
LL grass1 March 2023,177.18375327189094,0.9707299045854078,90.28821424357815,87.71660136530399,43.96457344696633,90.28821424357815,136.24797208166234
LL grass10 March 2023,47.40625589191853,0.8988740349374088,81.9583797259319,88.14359054350749,41.41692436349203,81.9583797259319,129.56051490699952
LL grass11 March 2023,66.89593812335544,0.9386530150281525,86.85344164238853,86.29948536309223,45.077800967218245,86.85344164238853,131.37728633031048
LL grass12 March 2023,52.38129846676053,0.9237002645143525,84.37039565282957,87.88077606539858,43.331440764740385,84.37039565282957,131.21221683013897
LL grass13 March 2023,44.098396666222,0.887427327423147,81.30089791537151,88.76440492181926,41.09268138516303,81.30089791537151,129.8570863069823
LL grass15 March 2023,48.66444970654758,0.8724078135037756,80.01857197131511,86.75838012040862,41.13387950770654,80.01857197131511,127.89225962811516
LL grass16 March 2023,38.494943240520584,0.973155118218435,87.7731328002659,89.4946350113321,43.29575445879164,87.7731328002659,133.80111944745954
LL grass17 March 2023,30.993626217246668,0.9791327509835345,88.60746183152423,88.84121117412808,43.57645952440471,88.60746183152423,134.73524835027663
LL grass18 March 2023,54.6435480620167,0.8908081134874738,82.00740725265716,85.96210911411407,42.434715462710706,82.00740725265716,128.39682457682477
LL grass19 March 2023,50.470514924022325,0.914845362791561,83.51954566846521,87.9546560692879,42.04281404542071,83.51954566846521,129.99747011470862
LL grass2 March 2023,7.430265734464324,0.9366581273279324,88.50698888727439,84.3193301449005,41.23996502661357,88.50698888727439,136.92063488171306
LL grass20 March 2023,41.79987339504398,0.9183420012105071,83.39689576590469,89.98118891523538,41.9501125491336,83.39689576590469,131.93130146436897
LL grass21 March 2023,37.657360383098535,0.9341002596156458,84.29280467046289,89.10475079515456,41.56603212507877,84.29280467046289,132.46128132992422
LL grass22 March 2023,43.76372345627844,0.8598882350134138,78.75672354097571,88.84065501816474,39.617704431561386,78.75672354097571,128.45835944972612
LL grass23 March 2023,43.207331626292124,0.8599818439380161,78.72999489199303,87.99443906827143,39.55011389546071,78.72999489199303,127.54455296373214
LL grass24 March 2023,44.04560412746136,0.8359255661466446,77.02268020650574,87.13086401501977,39.59222807799472,77.02268020650574,126.72309209301449
LL grass25 March 2023,44.6029247786509,0.9044993094284476,82.76234935033872,89.14662773263967,41.96534371180655,82.76234935033872,131.11197144444623
LL grass26 March 2023,41.26632731148399,0.8309259839641908,77.40686655348951,88.98337746836461,39.498514618430924,77.40686655348951,128.48189208679554
LL grass27 March 2023,28.816676214547467,0.9204727460679278,84.56682404322596,87.42534086069598,41.052920613501854,84.56682404322596,133.62757975280587
LL grass28 March 2023,36.415980524470115,0.9060679619642458,82.40183602361672,88.59097751323326,40.162679158953935,82.40183602361672,131.57170164572068
LL grass29 March 2023,28.301194906464936,0.9125796762873702,82.77969707909857,87.21310455775236,39.984210761322096,82.77969707909857,132.77110620356973
LL grass3 March 2023,3.0035779256625457,0.9363907363651295,88.8745850337326,84.19382243032464,41.144876113356666,88.8745850337326,136.95105368303203
LL grass30 March 2023,36.5607423844589,0.9439419566442928,86.00043071128671,88.87300518228989,42.46310573855535,86.00043071128671,133.59010055626547
LL grass31 March 2023,33.08219984464893,0.979902707944158,88.9051329024153,89.30365681854218,44.047207383558,88.9051329024153,134.74355056501582
LL grass32 March 2023,35.28799184397414,0.9737695607530612,86.90336427925033,89.70053830978128,43.334269488556565,86.90336427925033,133.6337311787753
LL grass4 March 2023,167.28500044357108,0.9456281510825966,91.8807151463662,85.39003675600729,43.08246052145249,91.8807151463662,137.6924237654452
LL grass5 March 2023,3.9974147540898906,0.9199377452627049,88.88463610781884,81.86025933417592,40.03757294931957,88.88463610781884,138.17731361514365
LL grass6 March 2023,9.422745864561085,0.9325997776405633,87.96266930318156,84.1327688613267,40.986669836509186,87.96266930318156,136.85390097518248
LL grass7 March 2023,2.2613220482245153,0.9045118488650951,88.80668560085167,82.19233098627856,39.85157874624358,88.80668560085167,137.659247759965
LL grass8 March 2023,58.504491071052506,0.9267957117023563,85.73788034102418,86.89678365141965,44.31009219494196,85.73788034102418,131.2068758463616
LL grass9 March 2023,45.244084825491576,0.9170283977538601,83.95575782210284,89.09462607374932,42.3051967454369,83.95575782210284,131.39982281918623
