date_only,month,max_speed,angle,circular_mean,circular_var,circular_median,circular_IQR
2022-02-04,2,13.86,258,81.0450913926527,0.2294727999613878,80.00000000000001,20.000000000000018
2022-02-05,2,13.35,186,44.04877021231095,0.7204349668068251,78.99999999999997,55.99999999999998
2022-02-06,2,14.64,251,11.544186312458615,0.3287432564605173,29,41
2022-02-07,2,14.64,23,39.68352851286933,0.357784929042125,31.000000000000004,39.00000000000001
2022-02-08,2,14.68,89,19.803145918264097,0.484061814601642,24.999999999999993,68.99999999999994
2022-02-09,2,14.6,219,42.7649351109016,0.2828352271999077,45,33.99999999999999
2022-02-10,2,14.68,212,25.107661302873407,0.3748859583944998,34.999999999999986,46.99999999999994
2022-02-11,2,14.64,248,31.64058054024366,0.8578665102841889,69.99999999999997,86.99999999999997
2022-02-12,2,14.64,357,167.9024403195818,0.2804513881674,145,36.00000000000006
2022-02-13,2,14.68,249,81.97534507296945,0.910509793904415,90,83.99999999999997
2022-02-14,2,14.68,235,53.78011575319791,0.5424380351591198,66.00000000000001,42.999999999999986
2022-02-15,2,14.68,198,12.28841786476282,0.5643358300683525,66.00000000000001,51
2022-02-16,2,14.64,197,16.39275915502889,0.34399768745906056,29,71
2022-02-17,2,14.6,359,179.02774435628604,0.00377639364671567,178.99999999999994,0
2022-02-18,2,14.68,222,26.89527586650068,0.8046786616562959,98,63.00000000000006
2022-02-19,2,14.6,166,23.684966353957385,0.27629901740848273,29,31.99999999999999
2022-02-20,2,14.64,332,26.926830344027568,0.29614029113518814,32,32.00000000000002
2022-02-21,2,14.6,54,34.29174942713076,0.3268099054956064,51,38
2022-02-22,2,14.68,223,78.030067293842,0.6785938379830379,83.50000000000003,63
2022-02-23,2,14.64,26,169.83949325006066,0.8201360315167032,97,70
2022-02-24,2,14.6,71,36.661222179807645,0.45584842235718537,53,37
2022-02-25,2,14.68,226,21.622627738057695,0.5982799716348756,64.99999999999997,55.00000000000004
2022-02-26,2,14.64,219,75.36185667568994,0.7848246406975803,81.50000000000001,74.99999999999997
2022-02-27,2,14.68,300,52.23406977939757,0.96639135396479,101.99999999999996,72
2022-02-28,2,14.6,183,22.940126113302536,0.8382387790174745,62.00000000000001,87.99999999999997
2022-03-01,3,14.72,274,49.40114007213288,0.3999696033935296,46.99999999999998,30.99999999999997
2022-03-02,3,14.17,264,148.81284649636297,0.4966932104898668,126.99999999999996,65.00000000000003
2022-03-03,3,14.64,283,30.344615608811736,0.3581881205919004,34,45
2022-03-04,3,14.64,205,33.200605315543655,0.3750910089127103,40.5,39.99999999999998
2022-03-05,3,14.68,202,49.98817030499957,0.4931691561659126,59,46.99999999999997
